iter	Logloss	F1
0	0.6371807685	0.6350789692
1	0.5960106919	0.755773268
2	0.5519722095	0.7742402315
3	0.5195014822	0.8326585695
4	0.4975480722	0.8215258856
5	0.4707133977	0.8647214854
6	0.4383238567	0.874005305
7	0.4247916528	0.883475971
8	0.4075852713	0.9083870968
9	0.3947634936	0.9078014184
10	0.382557043	0.9117836446
11	0.364827612	0.9183279743
12	0.348974578	0.919302776
13	0.3418014255	0.9263292761
14	0.3269935514	0.9273670558
15	0.3175775598	0.9329032258
16	0.3108892497	0.9363344051
17	0.2998743614	0.936497755
18	0.2913674537	0.9377806286
19	0.285912593	0.9527458493
20	0.2813650931	0.9559668156
21	0.2764418575	0.9566326531
22	0.2676243066	0.9592356688
23	0.2579653546	0.9611217336
24	0.2517346359	0.9617346939
25	0.2468137022	0.9616858238
26	0.240465682	0.9616858238
27	0.2339330937	0.9623003195
28	0.2308196082	0.9635782748
29	0.2263908466	0.96485623
30	0.2211978303	0.9661774091
31	0.2160085631	0.9668367347
32	0.2121996875	0.9655172414
33	0.2084751214	0.9674952199
34	0.205586104	0.9681933842
35	0.2032806022	0.9668789809
36	0.1987901985	0.9674952199
37	0.1938088378	0.9694267516
38	0.1893785725	0.9713922441
39	0.1852742555	0.9720101781
40	0.1836693503	0.9733163914
41	0.1807785461	0.9739351558
42	0.1785464641	0.9733163914
43	0.1743094631	0.973968254
44	0.1729045788	0.9746192893
45	0.1711980031	0.9759188847
46	0.1686647374	0.9759188847
47	0.1686089464	0.9759188847
48	0.1643756771	0.9778621126
49	0.1617111528	0.9785082174
50	0.1594288938	0.9791271347
51	0.1556930701	0.9772727273
52	0.1542088928	0.9785082174
53	0.1526861958	0.9785353535
54	0.1511964324	0.9778900821
55	0.149766173	0.9772727273
56	0.1478831775	0.9785624212
57	0.1459995006	0.9779179811
58	0.1435640882	0.9779179811
59	0.1416002379	0.9785353535
60	0.1402328086	0.9785353535
61	0.1394787695	0.979153506
62	0.138383571	0.9797724399
63	0.137065402	0.9785082174
64	0.1346174757	0.9785082174
65	0.1319952603	0.9791271347
66	0.1312474348	0.9791271347
67	0.1286998998	0.9803673211
68	0.1264924834	0.9803673211
69	0.1245696182	0.9803673211
70	0.1234454529	0.981657179
71	0.1222037964	0.982300885
72	0.1209749944	0.982300885
73	0.118124582	0.9835651075
74	0.1169635629	0.9835651075
75	0.1153931537	0.9835651075
76	0.114318417	0.9835651075
77	0.113629921	0.9835651075
78	0.1122460073	0.9835651075
79	0.111601886	0.9835651075
80	0.1113760957	0.9835651075
81	0.1102061335	0.9835651075
82	0.1097036813	0.9842072015
83	0.1095659116	0.9842072015
84	0.1075264383	0.9842072015
85	0.1061694786	0.9848484848
86	0.1051707569	0.9848484848
87	0.1033813752	0.9842072015
88	0.1032734659	0.9848484848
89	0.1013856552	0.9842072015
90	0.0998399352	0.9848484848
91	0.09914802319	0.9848484848
92	0.09895114235	0.985488959
93	0.0980328885	0.985488959
94	0.09750042313	0.9861286255
95	0.09619954941	0.9861286255
96	0.09560513904	0.9861286255
97	0.09381064193	0.9861286255
98	0.09299819729	0.9861286255
99	0.09146325417	0.9861286255
100	0.08989835291	0.9861286255
101	0.08983429014	0.9861286255
102	0.08967301387	0.9861286255
103	0.08859519279	0.9867674858
104	0.0876351328	0.9867674858
105	0.08756356511	0.9867674858
106	0.08641386151	0.9867674858
107	0.08556433308	0.9874055416
108	0.08531528572	0.9874055416
109	0.08521159836	0.9880427942
110	0.083219639	0.9874055416
111	0.08249263162	0.9880427942
112	0.08146123319	0.9880427942
113	0.08100588368	0.9880427942
114	0.08050424415	0.9886792453
115	0.0798198457	0.9886792453
116	0.07930875459	0.9880427942
117	0.07922548483	0.9880427942
118	0.07840763822	0.9886792453
119	0.07768420381	0.9886792453
120	0.07705765141	0.9893148963
121	0.07632230814	0.9893148963
122	0.07538642013	0.9893148963
123	0.07446546762	0.9893148963
124	0.07376361199	0.9893148963
125	0.07344948575	0.9893148963
126	0.07294752958	0.9899497487
127	0.0719971323	0.9899497487
128	0.07132810343	0.9899497487
129	0.07106607358	0.9899497487
130	0.07052461151	0.9899497487
131	0.07025249448	0.9899497487
132	0.06986473033	0.9899497487
133	0.06937248068	0.9905838041
134	0.0684042948	0.991217064
135	0.0679769165	0.991217064
136	0.06753013915	0.991217064
137	0.06666340419	0.991217064
138	0.06604030337	0.991217064
139	0.06575562553	0.9918495298
140	0.06525217486	0.991217064
141	0.06474918837	0.9918495298
142	0.06402659975	0.9918495298
143	0.06341429829	0.992481203
144	0.06317706351	0.992481203
145	0.06247583186	0.992481203
146	0.06130836724	0.992481203
147	0.06028782133	0.992481203
148	0.05975981238	0.9931120852
149	0.05917503284	0.9931120852
150	0.05903743722	0.9931120852
151	0.05855891311	0.992481203
152	0.05803380514	0.9931120852
153	0.05752663868	0.9931120852
154	0.05703985145	0.9931120852
155	0.05693601097	0.9931120852
156	0.05691305577	0.9931120852
157	0.05643315736	0.9931120852
158	0.05625256392	0.9931120852
159	0.05589558842	0.9931120852
160	0.05577841961	0.9931120852
161	0.05541979395	0.9931120852
162	0.05491260859	0.9931120852
163	0.05457043848	0.9931120852
164	0.05426701302	0.9937421777
165	0.05380070752	0.9937421777
166	0.05315762969	0.9937421777
167	0.05264352367	0.9937421777
168	0.05227765406	0.9937421777
169	0.0520438396	0.9937421777
170	0.05180834898	0.9937421777
171	0.05147854237	0.9937421777
172	0.0510948814	0.9937421777
173	0.05064311137	0.9937421777
174	0.05033959216	0.9937421777
175	0.04998777797	0.9937421777
176	0.04985687285	0.9937421777
177	0.04974027298	0.9937421777
178	0.04954580216	0.9937421777
179	0.04932285771	0.9937421777
180	0.04898515022	0.9937421777
181	0.04837246538	0.9937421777
182	0.04808557565	0.9937421777
183	0.04783878218	0.9937421777
184	0.04743581269	0.9937421777
185	0.04706562851	0.9937421777
186	0.04679198477	0.9937421777
187	0.04667475177	0.9937421777
188	0.04642463902	0.9937421777
189	0.04628763862	0.9937421777
190	0.04590937578	0.9937421777
191	0.04560024266	0.9937421777
192	0.04523241522	0.9937421777
193	0.04493353609	0.9937421777
194	0.04483196636	0.9937421777
195	0.04456018878	0.9937421777
196	0.04438907217	0.9937421777
197	0.04401042722	0.9937421777
198	0.04392031367	0.9937421777
199	0.04368027746	0.9937421777
200	0.0435650264	0.9937421777
201	0.04351967592	0.9937421777
202	0.04330186336	0.9937421777
203	0.04282516394	0.9937421777
204	0.0424632572	0.9937421777
205	0.04207570139	0.9937421777
206	0.04151964825	0.9943714822
207	0.04132750241	0.9943714822
208	0.04116121594	0.995
209	0.04104737039	0.9943714822
210	0.04096628764	0.9943714822
211	0.04086754296	0.9943714822
212	0.04077466642	0.9943714822
213	0.04063586287	0.9943714822
214	0.04033184733	0.9943714822
215	0.04021177258	0.9943714822
216	0.03987484226	0.9943714822
217	0.03964690498	0.9943714822
218	0.03927990201	0.9943714822
219	0.03899539666	0.9943714822
220	0.03853548664	0.9943714822
221	0.03831471948	0.9943714822
222	0.03830687905	0.9943714822
223	0.03825093537	0.9943714822
224	0.03820624469	0.9943714822
225	0.03799507303	0.9943714822
226	0.03792557138	0.9943714822
227	0.03748444969	0.9949937422
228	0.03732171386	0.9949937422
229	0.03721440565	0.9949937422
230	0.03711367379	0.9949937422
231	0.03701906885	0.9949937422
232	0.03670072139	0.9949937422
233	0.03652759481	0.9949937422
234	0.03634932246	0.9949937422
235	0.03611423368	0.9949937422
236	0.03575466007	0.9956222639
237	0.03517137192	0.9956222639
238	0.03507572213	0.9956222639
239	0.03489484863	0.9956222639
240	0.03476243179	0.9956222639
241	0.03457569672	0.9956222639
242	0.0345307234	0.9956222639
243	0.03426778055	0.9956222639
244	0.03386547319	0.9949937422
245	0.03364230335	0.9949937422
246	0.03360609923	0.9949937422
247	0.03323520641	0.9956222639
248	0.03294166552	0.9949937422
249	0.03286826882	0.9949937422
250	0.03280959665	0.9949937422
251	0.03275398518	0.9949937422
252	0.03265166161	0.9949937422
253	0.0326330107	0.9949937422
254	0.03245580291	0.9949937422
255	0.03231449134	0.9949937422
256	0.03217917807	0.9956222639
257	0.03209854925	0.99625
258	0.03203118643	0.99625
259	0.03191430648	0.99625
260	0.03177525535	0.9968769519
261	0.03172036269	0.9968769519
262	0.03167596967	0.9968769519
263	0.03142723946	0.99625
264	0.03139890166	0.99625
265	0.03131154774	0.9968769519
266	0.03119167262	0.9968769519
267	0.03114248483	0.9968769519
268	0.03096678605	0.9968769519
269	0.03083111401	0.9968769519
270	0.03077933342	0.9968769519
271	0.03059628425	0.9975031211
272	0.03052495546	0.9975031211
273	0.03036372847	0.9968769519
274	0.03024007577	0.9975031211
275	0.03007245186	0.9975031211
276	0.03001762541	0.9975031211
277	0.02990137809	0.9975031211
278	0.02969949369	0.9975031211
279	0.02956154412	0.9975031211
280	0.02930103838	0.9975031211
281	0.02919641038	0.9975031211
282	0.02912885451	0.9975031211
283	0.02904096846	0.9975031211
284	0.02900634507	0.9975031211
285	0.02895021258	0.9975031211
286	0.02891674459	0.9975031211
287	0.02879581188	0.9975031211
288	0.02862373001	0.9975031211
289	0.02846198481	0.9975031211
290	0.02840976234	0.9968769519
291	0.02818465845	0.9975031211
292	0.02799358874	0.9975031211
293	0.02796684308	0.9975031211
294	0.02787509282	0.9975031211
295	0.02771390457	0.9975031211
296	0.02744203543	0.998128509
297	0.02730467062	0.998128509
298	0.02724110786	0.998128509
299	0.02720870572	0.998128509
300	0.027102496	0.998128509
301	0.02706431834	0.998128509
302	0.0269093666	0.998128509
303	0.02680661104	0.998128509
304	0.0267605164	0.998128509
305	0.02642474834	0.998128509
306	0.02623323924	0.998128509
307	0.0261940839	0.998128509
308	0.02604461813	0.998128509
309	0.02595717648	0.998128509
310	0.02578313562	0.998128509
311	0.02562146878	0.998128509
