iter	Passed	Remaining
207	1319	1852
208	1326	1846
209	1331	1839
210	1337	1832
211	1344	1826
212	1352	1822
213	1358	1814
214	1363	1807
215	1371	1802
216	1377	1796
217	1384	1791
218	1390	1784
219	1395	1776
220	1401	1769
221	1406	1761
222	1413	1756
223	1419	1748
224	1425	1741
225	1432	1736
226	1438	1729
227	1446	1725
228	1452	1718
229	1459	1712
230	1466	1707
231	1473	1701
232	1481	1697
233	1488	1691
234	1495	1686
235	1501	1679
236	1508	1673
237	1515	1668
238	1521	1661
239	1527	1654
240	1535	1650
241	1541	1643
242	1549	1638
243	1555	1632
244	1561	1625
245	1568	1618
246	1575	1613
247	1581	1607
248	1589	1602
249	1595	1595
250	1603	1590
251	1611	1585
252	1617	1579
253	1624	1573
254	1635	1571
255	1644	1566
256	1652	1562
257	1657	1555
258	1669	1553
259	1674	1545
260	1681	1539
261	1687	1532
262	1694	1526
263	1701	1521
264	1707	1514
265	1716	1509
266	1721	1502
267	1728	1496
268	1734	1489
269	1740	1482
270	1748	1477
271	1754	1471
272	1763	1466
273	1768	1458
274	1773	1451
275	1781	1445
276	1787	1439
277	1795	1433
278	1800	1426
279	1805	1418
280	1814	1414
281	1820	1407
282	1829	1403
283	1837	1397
284	1848	1394
285	1856	1389
286	1863	1382
287	1871	1377
288	1879	1372
289	1885	1365
290	1891	1358
291	1897	1351
292	1906	1347
293	1911	1339
294	1918	1333
295	1925	1326
296	1931	1319
297	1939	1314
298	1945	1307
299	1955	1303
300	1964	1298
301	1976	1295
302	1987	1292
303	1993	1285
304	2003	1281
305	2012	1275
306	2023	1272
307	2037	1270
308	2046	1265
309	2058	1261
310	2069	1257
311	2083	1255
312	2096	1252
313	2104	1246
314	2111	1240
315	2119	1234
316	2127	1228
317	2135	1222
318	2145	1217
319	2153	1211
320	2170	1210
321	2181	1206
322	2192	1201
323	2201	1196
324	2212	1191
325	2229	1189
326	2256	1193
327	2271	1190
328	2283	1186
329	2289	1179
330	2299	1174
331	2309	1168
332	2319	1163
333	2335	1160
334	2346	1155
335	2361	1152
336	2370	1146
337	2380	1140
338	2398	1139
339	2415	1136
340	2424	1130
341	2437	1126
342	2449	1121
343	2456	1114
344	2470	1109
345	2479	1103
346	2490	1098
347	2499	1091
348	2515	1088
349	2524	1082
350	2535	1076
351	2544	1069
352	2559	1065
353	2574	1061
354	2582	1054
355	2591	1048
356	2597	1040
357	2605	1033
358	2618	1028
359	2629	1022
360	2643	1017
361	2657	1013
362	2674	1009
363	2686	1003
364	2700	998
365	2718	995
366	2728	988
367	2751	987
368	2765	981
369	2776	975
370	2782	967
371	2798	962
372	2810	956
373	2823	951
374	2832	944
375	2851	940
376	2861	933
377	2876	928
378	2887	921
379	2900	916
380	2912	909
381	2924	903
382	2931	895
383	2942	888
384	2957	883
385	2965	875
386	2972	867
387	2987	862
388	3004	857
389	3015	850
390	3025	843
391	3035	836
392	3046	829
393	3054	821
394	3061	813
395	3068	805
396	3076	798
397	3087	791
398	3095	783
399	3102	775
400	3113	768
401	3129	762
402	3135	754
403	3144	747
404	3151	739
405	3162	732
406	3177	726
407	3183	717
408	3194	710
409	3201	702
410	3211	695
411	3219	687
412	3229	680
413	3238	672
414	3245	664
415	3252	656
416	3259	648
417	3267	640
418	3274	632
419	3281	625
420	3289	617
421	3295	609
422	3303	601
423	3311	593
424	3317	585
425	3323	577
426	3330	569
427	3337	561
428	3344	553
429	3352	545
430	3357	537
431	3366	529
432	3374	522
433	3388	515
434	3400	508
435	3411	500
436	3419	492
437	3429	485
438	3437	477
439	3447	470
440	3455	462
441	3464	454
442	3525	453
443	3546	447
444	3555	439
445	3570	432
446	3578	424
447	3588	416
448	3596	408
449	3607	400
450	3618	393
451	3627	385
452	3638	377
453	3647	369
454	3663	362
455	3673	354
456	3687	346
457	3699	339
458	3710	331
459	3722	323
460	3731	315
461	3744	307
462	3752	299
463	3769	292
464	3780	284
465	3791	276
466	3801	268
467	3813	260
468	3825	252
469	3845	245
470	3861	237
471	3873	229
472	3892	222
473	3909	214
474	3945	207
475	3956	199
476	3965	191
477	3984	183
478	4001	175
479	4015	167
480	4041	159
481	4091	152
482	4100	144
483	4111	135
484	4123	127
485	4132	119
486	4143	110
487	4152	102
488	4162	93
489	4171	85
490	4179	76
491	4186	68
492	4194	59
493	4201	51
494	4210	42
495	4216	34
496	4225	25
497	4232	16
498	4244	8
499	4253	0
